@id	ref	name	operator
1878379	30	Bus 30: Unfallklinik => Hainer Weg	
1878380	30	Bus 30: Hainer Weg => Unfallklinik	In der City Bus
1899169	52	Bus 52: Griesheim Jägerallee => Gallus Schloßborner Straße	Autohaus Sippel GmbH
1908138	47	Bus 47: Südbahnhof => Dielmannstraße => Südbahnhof	RKH
1949076	35	Bus 35: Lerchesberg => Stresemannallee / Mörfelder Landstraße	
2211953	42	Bus 42: Weißkirchen Ost => Hauptfriedhof	Stadtwerke Oberursel
2221551	36	Bus 36: Westbahnhof => Hainer Weg	
2641283	74	Bus 74: Kelsterbach Sportpark => Niederhölle	RKH
2656448	74	Bus 74: Kelsterbach Niederhölle => Sportpark	RKH
2834123	55	Bus 55: Sindlingen Friedhof => Rödelheim Bahnhof	DB Regio Bus Mitte
2961010	71	Bus 71: Waldschwimmbad => Altkönig-Stift	Stadtbus Kronberg
2961011	71	Bus 71: Altkönig-Stift => Waldschwimmbad	Stadtbus Kronberg
3267225	53	Bus 53: Zeilsheim Bf => Bolongaropalast	VGF
3895136	75	Bus 75: Kelsterbach Friedhof => Gewerbegebiet Mönchhof	RKH
3895450	68	Bus 68: Kelsterbach Gesamtschule => Schwanheim (=> Höchst Bahnhof)	
4237272	59	Bus 59: Unterliederbach => Griesheim	In-der-City-Bus
4237782	59	Bus 59: Griesheim => Unterliederbach	In-der-City-Bus
4613019	75	Bus 75: Gewerbegebiet Mönchhof => Kelsterbach Friedhof	RKH
4673920	39	Bus 39: Berkersheim Mitte => Markus-Krankenhaus	VGF
4678506	54	Bus 54: Griesheim Bf => Sindlingen	
4679508	53	Bus 53: Ludwig-Scriba-Straße => Zeilsheim Bf	VGF
4717234	68	Bus 68: Höchst Bahnhof => Kelsterbach Gesamtschule	
4720393	77	Bus 77: Flughafen Terminal 1 => Gateway Gardens Ost	
4720394	77	Bus 77: Gateway Gardens Ost => Flughafen Terminal 1	
4844291	65	Bus 65: Bad Vilbel => Ober-Erlenbach	VGF
4844303	65	Bus 65: Bad Vilbel => Nieder-Erlenbach	VGF
4844304	65	Bus 65: Nieder-Erlenbach => Bad Vilbel	VGF
5385214	44	Bus 44: Oberursel Bf => Weißkirchen Ost	Stadtwerke Oberursel
5395144	46	Bus 46: Oberursel Bf => Stierstadt Bf	Stadtwerke Oberursel
5395576	47	Bus 47: Stierstadt => Erich-Kästner-Schule	Stadtwerke Oberursel
5395914	48	Bus 48: Oberstedten => IGS Stierstadt	
5396207	49	Bus 49: IGS Stierstadt => Oberstedten	Stadtwerke Oberursel
5748444	28	Bus 28: Kalbach Hopfenbrunnen => Harheim	Veolia
6791355	64	Bus 64: Europaviertel West => Ginnheim [U]	VGF
6791356	64	Bus 64: Ginnheim [U] => Europaviertel West	VGF
6791509	67	Bus 67: Rödelheim Bahnhof => Rödelheim Eschborner Landstraße West	Transdev Rhein-Main GmbH
6791510	67	Bus 67: Rödelheim Eschborner Landstraße West => Rödelheim Bahnhof	Alpina
8901198	44	Bus 44: Weißkirchen Ost => Oberursel Bf	Stadtwerke Oberursel
8901230	49	Bus 49: Oberstedten => IGS Stierstadt	Stadtwerke Oberursel
8901311	46	Bus 46: Stierstadt Bf => Oberursel Bf	Stadtwerke Oberursel
8901440	43	Bus 43: Weißkirchen Ost => Oberursel Bf	Stadtwerke Oberursel
8901441	43	Bus 43: Oberursel Bf => Weißkirchen Ost	Stadtwerke Oberursel
